in-degree distribution (probability density function of the degree in logarithmic bins) 
2	0.0286338
3	0.0830127
4	0.556535
5	0.294525
6	0.130821
7	0.102092
8	0.0474082
9	0.0201803
10	0.0171803

in-degree distribution (degree-occurrences) 
2	0.01
3	0.04
4	0.37
5	0.23
6	0.12
7	0.11
8	0.06
9	0.03
10	0.03


--------------------------------------
out-degree distribution (probability density function of the degree in logarithmic bins) 
4	0.483328
5	2.61446
6	1.63582

out-degree distribution (degree-occurrences) 
4	0.08
5	0.53
6	0.39


--------------------------------------
community distribution (size-occurrences)
4	0.3125
5	0.1875
6	0.0625
7	0.0625
8	0.25
10	0.125


--------------------------------------
mixing parameter (in-links)
0.166667	0.02
0.2	0.09
0.222222	0.01
0.25	0.3
0.285714	0.1
0.3	0.03
0.333333	0.16
0.375	0.02
0.4	0.14
0.428571	0.01
0.5	0.12

--------------------------------------
mixing parameter (out-links)
0	0.13
0.188462	0.26
0.25	0.06
0.333333	0.15
0.4	0.2
0.5	0.08
0.6	0.07
0.666667	0.04
0.833333	0.01

--------------------------------------
