1	5
1	6
1	9
1	13
1	14
1	15
1	16
1	17
1	21
2	3
2	8
2	9
2	11
2	12
2	14
2	15
2	19
2	21
2	22
2	23
3	2
3	4
3	6
3	7
3	9
3	10
3	12
3	20
3	23
3	24
3	25
4	3
4	5
4	7
4	11
4	15
4	17
4	20
4	21
4	22
4	24
4	25
5	1
5	4
5	6
5	9
5	10
5	12
5	13
5	14
5	15
5	17
5	18
5	21
5	22
5	25
6	1
6	3
6	5
6	7
6	8
6	9
6	11
6	12
6	14
6	15
6	20
6	23
6	24
7	3
7	4
7	6
7	8
7	9
7	10
7	15
7	17
7	22
7	24
7	25
8	2
8	6
8	7
8	9
8	12
8	13
8	18
8	19
8	20
8	21
8	22
8	23
8	24
9	1
9	2
9	3
9	5
9	6
9	7
9	8
9	10
9	14
9	15
9	16
9	21
9	24
9	25
10	3
10	5
10	7
10	9
10	11
10	13
10	14
10	18
10	20
10	21
10	22
10	23
10	25
11	2
11	4
11	6
11	10
11	13
11	14
11	15
11	16
11	17
11	19
11	23
11	24
12	2
12	3
12	5
12	6
12	8
12	16
12	17
12	18
12	19
12	20
12	23
12	24
12	25
13	1
13	5
13	8
13	10
13	11
13	14
13	16
13	17
13	18
13	19
13	21
13	22
13	23
13	24
14	1
14	2
14	5
14	6
14	9
14	10
14	11
14	13
14	15
14	16
14	17
14	21
14	23
14	24
14	25
15	1
15	2
15	4
15	5
15	6
15	7
15	9
15	11
15	14
15	19
15	20
15	22
16	1
16	9
16	11
16	12
16	13
16	14
16	18
16	19
16	21
16	22
16	23
16	25
17	1
17	4
17	5
17	7
17	11
17	12
17	13
17	14
17	18
17	19
17	20
17	22
17	23
17	25
18	5
18	8
18	10
18	12
18	13
18	16
18	17
18	19
18	20
18	21
18	22
18	24
18	25
19	2
19	8
19	11
19	12
19	13
19	15
19	16
19	17
19	18
19	20
19	21
19	22
19	23
19	25
20	3
20	4
20	6
20	8
20	10
20	12
20	15
20	17
20	18
20	19
20	21
20	22
20	23
20	24
20	25
21	1
21	2
21	4
21	5
21	8
21	9
21	10
21	13
21	14
21	16
21	18
21	19
21	20
21	22
21	23
21	24
21	25
22	2
22	4
22	5
22	7
22	8
22	10
22	13
22	15
22	16
22	17
22	18
22	19
22	20
22	21
22	23
22	24
22	25
23	2
23	3
23	6
23	8
23	10
23	11
23	12
23	13
23	14
23	16
23	17
23	19
23	20
23	21
23	22
23	24
23	25
24	3
24	4
24	6
24	7
24	8
24	9
24	11
24	12
24	13
24	14
24	18
24	20
24	21
24	22
24	23
24	25
25	3
25	4
25	5
25	7
25	9
25	10
25	12
25	14
25	16
25	17
25	18
25	19
25	20
25	21
25	22
25	23
25	24
